year_of_info,registration_number,state_medical_council,name,father_or_husband_name,qualification_1,qualification_1_year,university_name,qualification_2,qualification_2_year,email,date_of_birth,date_of_registration,age,experience_years
2006,92179,Andhra Pradesh Medical Council,Sara Ahuja,Vidhi Bhagat,MBBS,1989,U.Mysore,MS (Ortho),2018,dpalan@example.com,29-04-1994,10-02-2020,31,37
2000,46698,Andhra Pradesh Medical Council,Lucky Yohannan,Hritik Sehgal,MBBS,1983,SVIMS Tirupati,MS (Ortho),2016,jpatla@example.org,24-12-1990,22-10-2018,35,43
2015,69361,Andhra Pradesh Medical Council,Ekiya Aurora,Bachittar Morar,MBBS,1996,U.Mysore,MD (Pediatrics),2015,janyavenkataraman@example.net,20-01-1976,24-05-2017,49,30
2022,99884,Andhra Pradesh Medical Council,Reva Devan,Laksh Mall,MBBS,2006,U.Mysore,MD (Pediatrics),2006,choudharychatura@example.org,10-09-1983,10-09-2008,42,20
2016,97764,Andhra Pradesh Medical Council,Ekta Maharaj,Zayyan Koshy,MBBS,2000,SVIMS Tirupati,MD (Gen. Med.),2006,uthaker@example.net,20-12-1981,30-07-2018,44,26
2022,41724,Andhra Pradesh Medical Council,Qadim Wali,Elijah Aurora,MBBS,2006,NTR University of Health Sciences,MS (Ortho),2013,nisha09@example.com,03-04-1980,23-04-2015,45,20
2017,96077,Andhra Pradesh Medical Council,Victor Srinivasan,Chavvi Mangat,MBBS,2000,U.Mysore,,,pdutta@example.com,01-11-1998,25-01-2021,27,26
2010,47941,Andhra Pradesh Medical Council,Ishwar Mann,Anika Gaba,MBBS,1992,U.Mysore,MD (Pediatrics),2002,ramakrishnanhiral@example.com,15-08-1978,12-10-2003,47,34
2018,50163,Andhra Pradesh Medical Council,William Yogi,Liam Thakur,MBBS,2000,U.Mysore,MS (Ortho),2020,lsodhi@example.net,26-03-1994,20-03-2021,31,26
2016,51748,Andhra Pradesh Medical Council,Libni Narasimhan,Vrishti Tandon,MBBS,1996,NTR University of Health Sciences,MS (Ortho),2021,sachdevajhalak@example.com,24-11-1992,31-10-2024,33,30
2009,91716,Andhra Pradesh Medical Council,Fitan Kara,Bina Amble,MBBS,1991,SVIMS Tirupati,,,parthkaul@example.org,05-01-1974,01-08-2005,52,35
2014,57138,Andhra Pradesh Medical Council,Tejas Sani,Pavani Kade,MBBS,1998,SVIMS Tirupati,,,llad@example.net,14-04-1971,29-06-2018,54,28
2011,55799,Andhra Pradesh Medical Council,Varenya Srinivasan,Wahab Reddy,MBBS,1996,NTR University of Health Sciences,,,bimalakale@example.org,11-11-1970,08-08-1996,55,30
2002,72427,Andhra Pradesh Medical Council,Qasim Balay,Qabil Sahni,MBBS,1985,U.Mysore,MD (Gen. Med.),1997,dthakur@example.com,04-06-1973,06-09-2000,52,41
2004,74504,Andhra Pradesh Medical Council,Warinder Solanki,Bachittar Sastry,MBBS,1989,NTR University of Health Sciences,,,tbadami@example.org,04-09-1971,14-05-1996,54,37
2007,41201,Andhra Pradesh Medical Council,Yashica Kala,Kritika Balay,MBBS,1988,NTR University of Health Sciences,MD (Gen. Med.),1999,anitapathak@example.com,04-05-1995,20-05-2020,30,38
2011,52392,Andhra Pradesh Medical Council,Dalaja Palan,Nachiket Comar,MBBS,1994,NTR University of Health Sciences,MS (Ortho),2006,abhasachdeva@example.org,24-09-1973,17-04-2000,52,32
2007,93982,Andhra Pradesh Medical Council,Anvi Krishna,Agastya Chada,MBBS,1990,NTR University of Health Sciences,MD (Pediatrics),2001,utkarshmahal@example.org,27-05-1990,13-03-2024,35,36
2000,51706,Andhra Pradesh Medical Council,Imaran Bhalla,Varsha Sachdev,MBBS,1981,U.Mysore,MD (Pediatrics),2022,darpansathe@example.com,04-03-1997,04-01-2023,28,45
2007,44084,Andhra Pradesh Medical Council,Yachana Pal,Zansi Balakrishnan,MBBS,1992,SVIMS Tirupati,MD (Gen. Med.),2020,tmorar@example.com,28-10-2000,24-03-2023,25,34
2008,70190,Andhra Pradesh Medical Council,Wahab Memon,Libni Modi,MBBS,1993,NTR University of Health Sciences,MD (Gen. Med.),2013,jtrivedi@example.org,11-12-1988,20-06-2014,37,33
2012,70289,Andhra Pradesh Medical Council,Ronith Ray,Charvi Golla,MBBS,1993,U.Mysore,MD (Pediatrics),2022,madanamrita@example.net,12-12-1997,12-03-2023,28,33
2020,89754,Andhra Pradesh Medical Council,Tanvi Mammen,Wahab Bhandari,MBBS,2003,U.Mysore,MS (Ortho),2022,tbhardwaj@example.com,04-07-2000,12-10-2024,25,23
2014,51183,Andhra Pradesh Medical Council,Reva Deshpande,Dhruv Sandhu,MBBS,1998,SVIMS Tirupati,MD (Pediatrics),2016,yagnesh23@example.net,14-04-1982,09-02-2017,43,28
2006,72709,Andhra Pradesh Medical Council,Logan Master,Owen Sarna,MBBS,1989,U.Mysore,,,kashvi08@example.com,20-11-1995,02-09-2025,30,37
2017,58650,Andhra Pradesh Medical Council,Chaitanya Deshpande,Sarthak Chahal,MBBS,1998,SVIMS Tirupati,MD (Pediatrics),2011,berabalveer@example.org,18-12-1970,01-06-2023,55,28
2008,42702,Andhra Pradesh Medical Council,Yutika Sarkar,Arya Andra,MBBS,1988,U.Mysore,,,anadkarni@example.net,23-04-1989,17-12-2014,36,38
2023,94888,Andhra Pradesh Medical Council,Vyanjana Date,Darpan Bhattacharyya,MBBS,2006,SVIMS Tirupati,MD (Gen. Med.),2022,echand@example.com,28-09-1983,28-06-2023,42,20
2010,87389,Andhra Pradesh Medical Council,Ekalinga Gala,Hema Kala,MBBS,1993,U.Mysore,MS (Ortho),2014,xdate@example.com,03-05-1982,07-05-2015,43,33
